totally 181724 train examples
starting training from scratch with gpu 0,1,2,3
learning rate decay at epoch[80, 160]
Epoch[0] Batch [20]	Speed: 279.55 samples/sec	accuracy=0.767857
Epoch[0] Batch [680]	Speed: 810.31 samples/sec	accuracy=0.961914
Epoch[0] Batch [700]	Speed: 808.68 samples/sec	accuracy=0.964844
Epoch[0] Train-accuracy=0.964844
Epoch[0] Time cost=314.411
Epoch[0] Validation-accuracy=0.954222
Epoch[1] Batch [20]	Speed: 808.12 samples/sec	accuracy=0.969494
Epoch[1] Batch [40]	Speed: 739.55 samples/sec	accuracy=0.967773
Epoch[1] Batch [60]	Speed: 755.78 samples/sec	accuracy=0.967383
Epoch[1] Batch [80]	Speed: 725.91 samples/sec	accuracy=0.966406
Epoch[1] Batch [100]	Speed: 336.79 samples/sec	accuracy=0.969531
Epoch[1] Batch [120]	Speed: 390.67 samples/sec	accuracy=0.970508
Epoch[1] Batch [140]	Speed: 639.07 samples/sec	accuracy=0.974414
Epoch[1] Batch [160]	Speed: 852.46 samples/sec	accuracy=0.966602
Epoch[1] Batch [180]	Speed: 818.19 samples/sec	accuracy=0.972070
Epoch[1] Batch [200]	Speed: 823.67 samples/sec	accuracy=0.974219
Epoch[1] Batch [220]	Speed: 809.57 samples/sec	accuracy=0.974805
Epoch[1] Batch [240]	Speed: 335.57 samples/sec	accuracy=0.974219
Epoch[1] Batch [260]	Speed: 734.95 samples/sec	accuracy=0.970117
Epoch[1] Batch [280]	Speed: 391.03 samples/sec	accuracy=0.977539
Epoch[1] Batch [300]	Speed: 537.37 samples/sec	accuracy=0.973047
Epoch[1] Batch [320]	Speed: 793.37 samples/sec	accuracy=0.977148
Epoch[1] Batch [340]	Speed: 529.69 samples/sec	accuracy=0.975781
Epoch[1] Batch [360]	Speed: 788.49 samples/sec	accuracy=0.979102
Epoch[1] Batch [380]	Speed: 803.71 samples/sec	accuracy=0.972461
Epoch[1] Batch [400]	Speed: 384.83 samples/sec	accuracy=0.972461
Epoch[1] Batch [420]	Speed: 349.51 samples/sec	accuracy=0.977344
Epoch[1] Batch [440]	Speed: 748.19 samples/sec	accuracy=0.973047
Epoch[1] Batch [460]	Speed: 815.93 samples/sec	accuracy=0.974805
Epoch[1] Batch [480]	Speed: 819.60 samples/sec	accuracy=0.979297
Epoch[1] Batch [500]	Speed: 790.68 samples/sec	accuracy=0.978906
Epoch[1] Batch [520]	Speed: 784.19 samples/sec	accuracy=0.976367
Epoch[1] Batch [540]	Speed: 626.43 samples/sec	accuracy=0.979297
Epoch[1] Batch [560]	Speed: 509.73 samples/sec	accuracy=0.979883
Epoch[1] Batch [580]	Speed: 487.32 samples/sec	accuracy=0.976367
Epoch[1] Batch [600]	Speed: 823.22 samples/sec	accuracy=0.984375
Epoch[1] Batch [620]	Speed: 771.73 samples/sec	accuracy=0.978125
Epoch[1] Batch [640]	Speed: 790.25 samples/sec	accuracy=0.978320
Epoch[1] Batch [660]	Speed: 787.79 samples/sec	accuracy=0.977930
Epoch[1] Batch [680]	Speed: 820.22 samples/sec	accuracy=0.980273
Epoch[1] Batch [700]	Speed: 799.10 samples/sec	accuracy=0.978516
Epoch[1] Train-accuracy=0.978299
Epoch[1] Time cost=292.770
Epoch[1] Validation-accuracy=0.982720
Epoch[2] Batch [20]	Speed: 773.17 samples/sec	accuracy=0.979539
Epoch[2] Batch [40]	Speed: 789.76 samples/sec	accuracy=0.986133
Epoch[2] Batch [60]	Speed: 771.84 samples/sec	accuracy=0.983398
Epoch[2] Batch [80]	Speed: 774.24 samples/sec	accuracy=0.981055
Epoch[2] Batch [100]	Speed: 815.07 samples/sec	accuracy=0.978125
Epoch[2] Batch [120]	Speed: 864.91 samples/sec	accuracy=0.983203
Epoch[2] Batch [140]	Speed: 808.26 samples/sec	accuracy=0.985938
Epoch[2] Batch [160]	Speed: 804.97 samples/sec	accuracy=0.983594
Epoch[2] Batch [180]	Speed: 798.85 samples/sec	accuracy=0.985547
Epoch[2] Batch [200]	Speed: 853.91 samples/sec	accuracy=0.984375
Epoch[2] Batch [220]	Speed: 776.58 samples/sec	accuracy=0.983594
Epoch[2] Batch [240]	Speed: 847.96 samples/sec	accuracy=0.982617
Epoch[2] Batch [260]	Speed: 805.17 samples/sec	accuracy=0.980469
Epoch[2] Batch [280]	Speed: 725.29 samples/sec	accuracy=0.980469
Epoch[2] Batch [300]	Speed: 818.17 samples/sec	accuracy=0.984180
Epoch[2] Batch [320]	Speed: 849.64 samples/sec	accuracy=0.986328
Epoch[2] Batch [340]	Speed: 820.29 samples/sec	accuracy=0.984375
Epoch[2] Batch [360]	Speed: 797.40 samples/sec	accuracy=0.985156
Epoch[2] Batch [380]	Speed: 751.22 samples/sec	accuracy=0.982812
Epoch[2] Batch [400]	Speed: 786.17 samples/sec	accuracy=0.981641
Epoch[2] Batch [420]	Speed: 799.51 samples/sec	accuracy=0.980859
Epoch[2] Batch [440]	Speed: 812.64 samples/sec	accuracy=0.984766
Epoch[2] Batch [460]	Speed: 751.14 samples/sec	accuracy=0.983398
Epoch[2] Batch [480]	Speed: 821.96 samples/sec	accuracy=0.984961
Epoch[2] Batch [500]	Speed: 777.75 samples/sec	accuracy=0.988672
Epoch[2] Batch [520]	Speed: 820.77 samples/sec	accuracy=0.984570
Epoch[2] Batch [540]	Speed: 828.14 samples/sec	accuracy=0.986328
Epoch[2] Batch [560]	Speed: 815.58 samples/sec	accuracy=0.984180
Epoch[2] Batch [580]	Speed: 778.16 samples/sec	accuracy=0.980469
Epoch[2] Batch [600]	Speed: 811.15 samples/sec	accuracy=0.988477
Epoch[2] Batch [620]	Speed: 811.63 samples/sec	accuracy=0.986523
Epoch[2] Batch [640]	Speed: 769.48 samples/sec	accuracy=0.987695
Epoch[2] Batch [660]	Speed: 789.18 samples/sec	accuracy=0.985742
Epoch[2] Batch [680]	Speed: 790.77 samples/sec	accuracy=0.986328
Epoch[2] Batch [700]	Speed: 850.87 samples/sec	accuracy=0.985547
Epoch[2] Train-accuracy=0.986545
Epoch[2] Time cost=227.026
Epoch[2] Validation-accuracy=0.978428
Epoch[3] Batch [20]	Speed: 767.14 samples/sec	accuracy=0.986235
Epoch[3] Batch [40]	Speed: 810.41 samples/sec	accuracy=0.989258
Epoch[3] Batch [60]	Speed: 805.52 samples/sec	accuracy=0.987891
Epoch[3] Batch [80]	Speed: 783.18 samples/sec	accuracy=0.987109
Epoch[3] Batch [100]	Speed: 818.39 samples/sec	accuracy=0.986328
Epoch[3] Batch [120]	Speed: 786.96 samples/sec	accuracy=0.987500
Epoch[3] Batch [140]	Speed: 799.64 samples/sec	accuracy=0.988086
Epoch[3] Batch [160]	Speed: 816.44 samples/sec	accuracy=0.987695
Epoch[3] Batch [180]	Speed: 800.72 samples/sec	accuracy=0.991406
Epoch[3] Batch [200]	Speed: 796.74 samples/sec	accuracy=0.989258
Epoch[3] Batch [220]	Speed: 846.86 samples/sec	accuracy=0.990039
Epoch[3] Batch [240]	Speed: 807.09 samples/sec	accuracy=0.991016
Epoch[3] Batch [260]	Speed: 786.31 samples/sec	accuracy=0.984961
Epoch[3] Batch [280]	Speed: 795.37 samples/sec	accuracy=0.985547
Epoch[3] Batch [300]	Speed: 826.58 samples/sec	accuracy=0.989453
Epoch[3] Batch [320]	Speed: 782.49 samples/sec	accuracy=0.990625
Epoch[3] Batch [340]	Speed: 793.37 samples/sec	accuracy=0.989062
Epoch[3] Batch [360]	Speed: 822.12 samples/sec	accuracy=0.992578
Epoch[3] Batch [380]	Speed: 827.20 samples/sec	accuracy=0.986523
Epoch[3] Batch [400]	Speed: 763.05 samples/sec	accuracy=0.986914
Epoch[3] Batch [420]	Speed: 807.35 samples/sec	accuracy=0.986133
Epoch[3] Batch [440]	Speed: 793.16 samples/sec	accuracy=0.988281
Epoch[3] Batch [460]	Speed: 799.37 samples/sec	accuracy=0.986914
Epoch[3] Batch [480]	Speed: 766.78 samples/sec	accuracy=0.989258
Epoch[3] Batch [500]	Speed: 790.67 samples/sec	accuracy=0.990234
Epoch[3] Batch [520]	Speed: 769.26 samples/sec	accuracy=0.988086
Epoch[3] Batch [540]	Speed: 785.20 samples/sec	accuracy=0.989844
Epoch[3] Batch [560]	Speed: 803.78 samples/sec	accuracy=0.990625
Epoch[3] Batch [580]	Speed: 793.67 samples/sec	accuracy=0.988086
Epoch[3] Batch [600]	Speed: 745.73 samples/sec	accuracy=0.991211
Epoch[3] Batch [620]	Speed: 815.40 samples/sec	accuracy=0.990234
Epoch[3] Batch [640]	Speed: 884.47 samples/sec	accuracy=0.991211
Epoch[3] Batch [660]	Speed: 785.52 samples/sec	accuracy=0.990625
Epoch[3] Batch [680]	Speed: 765.86 samples/sec	accuracy=0.987891
Epoch[3] Batch [700]	Speed: 815.55 samples/sec	accuracy=0.990234
Epoch[3] Train-accuracy=0.990017
Epoch[3] Time cost=227.589
Epoch[3] Validation-accuracy=0.989539
Epoch[4] Batch [20]	Speed: 773.17 samples/sec	accuracy=0.988839
Epoch[4] Batch [40]	Speed: 786.93 samples/sec	accuracy=0.989258
Epoch[4] Batch [60]	Speed: 759.27 samples/sec	accuracy=0.989844
Epoch[4] Batch [80]	Speed: 803.56 samples/sec	accuracy=0.990234
Epoch[4] Batch [100]	Speed: 823.05 samples/sec	accuracy=0.992383
Epoch[4] Batch [120]	Speed: 809.83 samples/sec	accuracy=0.991211
Epoch[4] Batch [140]	Speed: 781.69 samples/sec	accuracy=0.991211
Epoch[4] Batch [160]	Speed: 790.73 samples/sec	accuracy=0.989258
Epoch[4] Batch [180]	Speed: 762.73 samples/sec	accuracy=0.990430
Epoch[4] Batch [200]	Speed: 807.59 samples/sec	accuracy=0.992578
Epoch[4] Batch [220]	Speed: 836.14 samples/sec	accuracy=0.993164
Epoch[4] Batch [240]	Speed: 762.04 samples/sec	accuracy=0.993945
Epoch[4] Batch [260]	Speed: 824.67 samples/sec	accuracy=0.989258
Epoch[4] Batch [280]	Speed: 769.37 samples/sec	accuracy=0.990625
Epoch[4] Batch [300]	Speed: 767.01 samples/sec	accuracy=0.990234
Epoch[4] Batch [320]	Speed: 845.24 samples/sec	accuracy=0.992969
Epoch[4] Batch [340]	Speed: 783.62 samples/sec	accuracy=0.991992
Epoch[4] Batch [360]	Speed: 824.50 samples/sec	accuracy=0.994141
Epoch[4] Batch [380]	Speed: 793.57 samples/sec	accuracy=0.992969
Epoch[4] Batch [400]	Speed: 793.77 samples/sec	accuracy=0.988672
Epoch[4] Batch [420]	Speed: 802.02 samples/sec	accuracy=0.988867
Epoch[4] Batch [440]	Speed: 827.08 samples/sec	accuracy=0.989453
Epoch[4] Batch [460]	Speed: 787.72 samples/sec	accuracy=0.992578
Epoch[4] Batch [480]	Speed: 777.11 samples/sec	accuracy=0.993555
Epoch[4] Batch [500]	Speed: 828.83 samples/sec	accuracy=0.993555
Epoch[4] Batch [520]	Speed: 867.38 samples/sec	accuracy=0.992188
Epoch[4] Batch [540]	Speed: 770.63 samples/sec	accuracy=0.994141
Epoch[4] Batch [560]	Speed: 829.15 samples/sec	accuracy=0.993359
Epoch[4] Batch [580]	Speed: 771.38 samples/sec	accuracy=0.992773
Epoch[4] Batch [600]	Speed: 808.80 samples/sec	accuracy=0.992188
Epoch[4] Batch [620]	Speed: 781.48 samples/sec	accuracy=0.991992
Epoch[4] Batch [640]	Speed: 798.73 samples/sec	accuracy=0.992578
Epoch[4] Batch [660]	Speed: 787.80 samples/sec	accuracy=0.991797
Epoch[4] Batch [680]	Speed: 804.63 samples/sec	accuracy=0.990625
Epoch[4] Batch [700]	Speed: 798.57 samples/sec	accuracy=0.989062
Epoch[4] Train-accuracy=0.992188
Epoch[4] Time cost=227.859
Saved checkpoint to "/mnt/data-1/data/jiajie.tang/highway/output/exp2/mobilenet-0005.params"
Epoch[4] Validation-accuracy=0.991902
Epoch[5] Batch [20]	Speed: 840.98 samples/sec	accuracy=0.992188
Epoch[5] Batch [40]	Speed: 780.44 samples/sec	accuracy=0.995117
Epoch[5] Batch [60]	Speed: 862.78 samples/sec	accuracy=0.992578
Epoch[5] Batch [80]	Speed: 802.61 samples/sec	accuracy=0.993164
Epoch[5] Batch [100]	Speed: 781.63 samples/sec	accuracy=0.993359
Epoch[5] Batch [120]	Speed: 783.26 samples/sec	accuracy=0.992773
Epoch[5] Batch [140]	Speed: 791.95 samples/sec	accuracy=0.993359
Epoch[5] Batch [160]	Speed: 790.19 samples/sec	accuracy=0.991016
Epoch[5] Batch [180]	Speed: 813.84 samples/sec	accuracy=0.991992
Epoch[5] Batch [200]	Speed: 803.79 samples/sec	accuracy=0.994336
Epoch[5] Batch [220]	Speed: 796.79 samples/sec	accuracy=0.992383
Epoch[5] Batch [240]	Speed: 825.28 samples/sec	accuracy=0.994141
Epoch[5] Batch [260]	Speed: 829.34 samples/sec	accuracy=0.991406
Epoch[5] Batch [280]	Speed: 840.05 samples/sec	accuracy=0.991211
Epoch[5] Batch [300]	Speed: 810.69 samples/sec	accuracy=0.993750
Epoch[5] Batch [320]	Speed: 804.45 samples/sec	accuracy=0.994141
Epoch[5] Batch [340]	Speed: 786.04 samples/sec	accuracy=0.992773
Epoch[5] Batch [360]	Speed: 790.73 samples/sec	accuracy=0.994336
Epoch[5] Batch [380]	Speed: 810.60 samples/sec	accuracy=0.993750
Epoch[5] Batch [400]	Speed: 841.34 samples/sec	accuracy=0.994141
Epoch[5] Batch [420]	Speed: 775.40 samples/sec	accuracy=0.992773
Epoch[5] Batch [440]	Speed: 853.32 samples/sec	accuracy=0.992188
Epoch[5] Batch [460]	Speed: 807.64 samples/sec	accuracy=0.993164
Epoch[5] Batch [480]	Speed: 842.62 samples/sec	accuracy=0.993750
Epoch[5] Batch [500]	Speed: 768.72 samples/sec	accuracy=0.994922
Epoch[5] Batch [520]	Speed: 776.29 samples/sec	accuracy=0.991797
Epoch[5] Batch [540]	Speed: 824.68 samples/sec	accuracy=0.994727
Epoch[5] Batch [560]	Speed: 822.46 samples/sec	accuracy=0.993945
Epoch[5] Batch [580]	Speed: 766.86 samples/sec	accuracy=0.995313
Epoch[5] Batch [600]	Speed: 807.24 samples/sec	accuracy=0.996680
Epoch[5] Batch [620]	Speed: 830.05 samples/sec	accuracy=0.994141
Epoch[5] Batch [640]	Speed: 790.23 samples/sec	accuracy=0.995508
Epoch[5] Batch [660]	Speed: 789.23 samples/sec	accuracy=0.994922
Epoch[5] Batch [680]	Speed: 806.00 samples/sec	accuracy=0.992188
Epoch[5] Batch [700]	Speed: 846.18 samples/sec	accuracy=0.991797
Epoch[5] Train-accuracy=0.994792
Epoch[5] Time cost=225.132
Epoch[5] Validation-accuracy=0.990797
Epoch[6] Batch [20]	Speed: 774.51 samples/sec	accuracy=0.994420
Epoch[6] Batch [40]	Speed: 805.44 samples/sec	accuracy=0.996094
Epoch[6] Batch [60]	Speed: 818.28 samples/sec	accuracy=0.994336
Epoch[6] Batch [80]	Speed: 805.56 samples/sec	accuracy=0.994922
Epoch[6] Batch [100]	Speed: 787.80 samples/sec	accuracy=0.994922
Epoch[6] Batch [120]	Speed: 820.18 samples/sec	accuracy=0.995898
Epoch[6] Batch [140]	Speed: 793.23 samples/sec	accuracy=0.995508
Epoch[6] Batch [160]	Speed: 824.72 samples/sec	accuracy=0.994531
Epoch[6] Batch [180]	Speed: 780.19 samples/sec	accuracy=0.996484
Epoch[6] Batch [200]	Speed: 830.37 samples/sec	accuracy=0.995703
Epoch[6] Batch [220]	Speed: 776.18 samples/sec	accuracy=0.995313
Epoch[6] Batch [240]	Speed: 770.83 samples/sec	accuracy=0.994336
Epoch[6] Batch [260]	Speed: 796.21 samples/sec	accuracy=0.993945
Epoch[6] Batch [280]	Speed: 900.29 samples/sec	accuracy=0.996680
Epoch[6] Batch [300]	Speed: 787.73 samples/sec	accuracy=0.995703
Epoch[6] Batch [320]	Speed: 735.31 samples/sec	accuracy=0.993164
Epoch[6] Batch [340]	Speed: 853.93 samples/sec	accuracy=0.991992
Epoch[6] Batch [360]	Speed: 818.21 samples/sec	accuracy=0.994141
Epoch[6] Batch [380]	Speed: 843.88 samples/sec	accuracy=0.996094
Epoch[6] Batch [400]	Speed: 769.81 samples/sec	accuracy=0.994141
Epoch[6] Batch [420]	Speed: 865.28 samples/sec	accuracy=0.996289
Epoch[6] Batch [440]	Speed: 765.36 samples/sec	accuracy=0.994531
Epoch[6] Batch [460]	Speed: 822.03 samples/sec	accuracy=0.995117
Epoch[6] Batch [480]	Speed: 806.62 samples/sec	accuracy=0.993750
Epoch[6] Batch [500]	Speed: 793.30 samples/sec	accuracy=0.996875
Epoch[6] Batch [520]	Speed: 849.76 samples/sec	accuracy=0.994531
Epoch[6] Batch [540]	Speed: 799.33 samples/sec	accuracy=0.996289
Epoch[6] Batch [560]	Speed: 771.31 samples/sec	accuracy=0.995508
Epoch[6] Batch [580]	Speed: 844.07 samples/sec	accuracy=0.996289
Epoch[6] Batch [600]	Speed: 769.14 samples/sec	accuracy=0.994922
Epoch[6] Batch [620]	Speed: 846.54 samples/sec	accuracy=0.993750
Epoch[6] Batch [640]	Speed: 774.75 samples/sec	accuracy=0.994922
Epoch[6] Batch [660]	Speed: 778.20 samples/sec	accuracy=0.995313
Epoch[6] Batch [680]	Speed: 766.71 samples/sec	accuracy=0.993555
Epoch[6] Batch [700]	Speed: 777.51 samples/sec	accuracy=0.995703
Epoch[6] Train-accuracy=0.994629
Epoch[6] Time cost=226.176
Epoch[6] Validation-accuracy=0.989686
Epoch[7] Batch [20]	Speed: 806.03 samples/sec	accuracy=0.996094
Epoch[7] Batch [40]	Speed: 866.64 samples/sec	accuracy=0.995508
Epoch[7] Batch [60]	Speed: 765.65 samples/sec	accuracy=0.996875
Epoch[7] Batch [80]	Speed: 867.00 samples/sec	accuracy=0.995703
Epoch[7] Batch [100]	Speed: 789.92 samples/sec	accuracy=0.996289
Epoch[7] Batch [120]	Speed: 769.24 samples/sec	accuracy=0.994727
Epoch[7] Batch [140]	Speed: 795.93 samples/sec	accuracy=0.997070
Epoch[7] Batch [160]	Speed: 851.28 samples/sec	accuracy=0.996094
Epoch[7] Batch [180]	Speed: 790.11 samples/sec	accuracy=0.996680
Epoch[7] Batch [200]	Speed: 768.84 samples/sec	accuracy=0.995313
Epoch[7] Batch [220]	Speed: 824.94 samples/sec	accuracy=0.996289
Epoch[7] Batch [240]	Speed: 813.85 samples/sec	accuracy=0.997070
Epoch[7] Batch [260]	Speed: 805.52 samples/sec	accuracy=0.994336
Epoch[7] Batch [280]	Speed: 763.44 samples/sec	accuracy=0.996289
Epoch[7] Batch [300]	Speed: 820.04 samples/sec	accuracy=0.997070
Epoch[7] Batch [320]	Speed: 838.53 samples/sec	accuracy=0.995898
Epoch[7] Batch [340]	Speed: 831.17 samples/sec	accuracy=0.994727
Epoch[7] Batch [360]	Speed: 793.72 samples/sec	accuracy=0.994727
Epoch[7] Batch [380]	Speed: 811.65 samples/sec	accuracy=0.995508
Epoch[7] Batch [400]	Speed: 780.22 samples/sec	accuracy=0.996289
Epoch[7] Batch [420]	Speed: 841.18 samples/sec	accuracy=0.993945
Epoch[7] Batch [440]	Speed: 770.84 samples/sec	accuracy=0.994141
Epoch[7] Batch [460]	Speed: 798.13 samples/sec	accuracy=0.994727
Epoch[7] Batch [480]	Speed: 795.24 samples/sec	accuracy=0.996680
Epoch[7] Batch [500]	Speed: 775.48 samples/sec	accuracy=0.996289
Epoch[7] Batch [520]	Speed: 805.52 samples/sec	accuracy=0.994531
Epoch[7] Batch [540]	Speed: 836.76 samples/sec	accuracy=0.996875
Epoch[7] Batch [560]	Speed: 787.79 samples/sec	accuracy=0.995703
Epoch[7] Batch [580]	Speed: 830.81 samples/sec	accuracy=0.995508
Epoch[7] Batch [600]	Speed: 840.89 samples/sec	accuracy=0.997656
Epoch[7] Batch [620]	Speed: 777.62 samples/sec	accuracy=0.995703
Epoch[7] Batch [640]	Speed: 838.01 samples/sec	accuracy=0.997070
Epoch[7] Batch [660]	Speed: 759.78 samples/sec	accuracy=0.994922
Epoch[7] Batch [680]	Speed: 820.65 samples/sec	accuracy=0.994922
Epoch[7] Batch [700]	Speed: 749.56 samples/sec	accuracy=0.995117
Epoch[7] Train-accuracy=0.995226
Epoch[7] Time cost=225.951
Epoch[7] Validation-accuracy=0.994416
Epoch[8] Batch [20]	Speed: 842.49 samples/sec	accuracy=0.996838
Epoch[8] Batch [40]	Speed: 783.08 samples/sec	accuracy=0.997852
Epoch[8] Batch [60]	Speed: 803.11 samples/sec	accuracy=0.997070
Epoch[8] Batch [80]	Speed: 801.02 samples/sec	accuracy=0.996875
Epoch[8] Batch [100]	Speed: 745.44 samples/sec	accuracy=0.996484
Epoch[8] Batch [120]	Speed: 815.88 samples/sec	accuracy=0.997266
Epoch[8] Batch [140]	Speed: 810.39 samples/sec	accuracy=0.996484
Epoch[8] Batch [160]	Speed: 795.62 samples/sec	accuracy=0.995117
Epoch[8] Batch [180]	Speed: 796.89 samples/sec	accuracy=0.996875
Epoch[8] Batch [200]	Speed: 835.90 samples/sec	accuracy=0.995703
Epoch[8] Batch [220]	Speed: 801.61 samples/sec	accuracy=0.996680
Epoch[8] Batch [240]	Speed: 773.30 samples/sec	accuracy=0.997070
Epoch[8] Batch [260]	Speed: 852.49 samples/sec	accuracy=0.996875
Epoch[8] Batch [280]	Speed: 776.84 samples/sec	accuracy=0.998437
Epoch[8] Batch [300]	Speed: 759.79 samples/sec	accuracy=0.997852
Epoch[8] Batch [320]	Speed: 812.75 samples/sec	accuracy=0.996680
Epoch[8] Batch [340]	Speed: 790.69 samples/sec	accuracy=0.996875
Epoch[8] Batch [360]	Speed: 774.79 samples/sec	accuracy=0.996680
Epoch[8] Batch [380]	Speed: 815.00 samples/sec	accuracy=0.995898
Epoch[8] Batch [400]	Speed: 810.96 samples/sec	accuracy=0.996484
Epoch[8] Batch [420]	Speed: 812.45 samples/sec	accuracy=0.996484
Epoch[8] Batch [440]	Speed: 794.99 samples/sec	accuracy=0.996289
Epoch[8] Batch [460]	Speed: 797.76 samples/sec	accuracy=0.997266
Epoch[8] Batch [480]	Speed: 817.10 samples/sec	accuracy=0.996094
Epoch[8] Batch [500]	Speed: 766.89 samples/sec	accuracy=0.995117
Epoch[8] Batch [520]	Speed: 815.26 samples/sec	accuracy=0.995703
Epoch[8] Batch [540]	Speed: 780.96 samples/sec	accuracy=0.997070
Epoch[8] Batch [560]	Speed: 881.33 samples/sec	accuracy=0.996875
Epoch[8] Batch [580]	Speed: 801.15 samples/sec	accuracy=0.996094
Epoch[8] Batch [600]	Speed: 812.49 samples/sec	accuracy=0.996680
Epoch[8] Batch [620]	Speed: 781.88 samples/sec	accuracy=0.995508
Epoch[8] Batch [640]	Speed: 780.35 samples/sec	accuracy=0.996875
Epoch[8] Batch [660]	Speed: 800.04 samples/sec	accuracy=0.997070
Epoch[8] Batch [680]	Speed: 809.63 samples/sec	accuracy=0.996875
Epoch[8] Batch [700]	Speed: 821.94 samples/sec	accuracy=0.996094
Epoch[8] Train-accuracy=0.996528
Epoch[8] Time cost=226.721
Epoch[8] Validation-accuracy=0.992912
Epoch[9] Batch [20]	Speed: 833.38 samples/sec	accuracy=0.994792
Epoch[9] Batch [40]	Speed: 788.75 samples/sec	accuracy=0.996875
Epoch[9] Batch [60]	Speed: 835.89 samples/sec	accuracy=0.995508
Epoch[9] Batch [80]	Speed: 783.99 samples/sec	accuracy=0.996289
Epoch[9] Batch [100]	Speed: 812.36 samples/sec	accuracy=0.995898
Epoch[9] Batch [120]	Speed: 811.74 samples/sec	accuracy=0.996875
Epoch[9] Batch [140]	Speed: 842.02 samples/sec	accuracy=0.995508
Epoch[9] Batch [160]	Speed: 778.83 samples/sec	accuracy=0.996875
Epoch[9] Batch [180]	Speed: 821.32 samples/sec	accuracy=0.997852
Epoch[9] Batch [200]	Speed: 830.70 samples/sec	accuracy=0.997266
Epoch[9] Batch [220]	Speed: 785.16 samples/sec	accuracy=0.997070
Epoch[9] Batch [240]	Speed: 862.62 samples/sec	accuracy=0.997461
Epoch[9] Batch [260]	Speed: 761.49 samples/sec	accuracy=0.997656
Epoch[9] Batch [280]	Speed: 821.62 samples/sec	accuracy=0.996094
Epoch[9] Batch [300]	Speed: 851.05 samples/sec	accuracy=0.997656
Epoch[9] Batch [320]	Speed: 806.44 samples/sec	accuracy=0.996680
Epoch[9] Batch [340]	Speed: 798.38 samples/sec	accuracy=0.996680
Epoch[9] Batch [360]	Speed: 749.77 samples/sec	accuracy=0.994727
Epoch[9] Batch [380]	Speed: 786.67 samples/sec	accuracy=0.996680
Epoch[9] Batch [400]	Speed: 859.32 samples/sec	accuracy=0.998242
Epoch[9] Batch [420]	Speed: 761.48 samples/sec	accuracy=0.996484
Epoch[9] Batch [440]	Speed: 809.31 samples/sec	accuracy=0.995508
Epoch[9] Batch [460]	Speed: 797.08 samples/sec	accuracy=0.997266
Epoch[9] Batch [480]	Speed: 797.52 samples/sec	accuracy=0.997461
Epoch[9] Batch [500]	Speed: 767.91 samples/sec	accuracy=0.997070
Epoch[9] Batch [520]	Speed: 781.24 samples/sec	accuracy=0.995898
